name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
46,50.6,2,26,17,31,27,29.0172,8.4017,uncertainty,7,1,2
47,51.7,29,40,19,37,28,14.4222,7.5978,uncertainty,7,1,8
48,52.8,39,41,9,24,25,21.9317,8.7727,uncertainty,7,1,3
49,53.9,40,36,15,10,11,39.0512,7.2373,uncertainty,7,1,2
50,55,24,48,3,29,32,16.7631,7.7779,uncertainty,7,1,5
51,56.1,37,48,0,18,17,36.3593,7.9692,uncertainty,7,1,5
52,57.2,19,45,2,20,12,33.0151,7.2973,uncertainty,7,1,7
53,58.3,7,26,2,20,12,19.105,7.5266,uncertainty,7,1,7
54,59.4,31,41,11,19,35,13.4164,6.033,uncertainty,7,1,8
55,60.5,6,10,6,35,33,37.0135,7.3414,uncertainty,7,1,8
56,61.6,24,39,8,27,25,14.3178,5.8933,uncertainty,7,1,3
57,62.7,46,14,18,36,34,22.3607,7.6974,uncertainty,7,1,6
58,63.8,38,30,15,10,11,33.8378,8.297,uncertainty,7,1,2
59,64.9,33,32,3,29,32,4,5.575,uncertainty,7,1,3
60,66,21,26,12,11,29,10.4403,8.2322,uncertainty,7,1,5
61,67.1,35,37,10,31,11,26.3059,6.8687,uncertainty,7,1,8
62,68.2,20,9,18,36,34,29.6816,6.9672,uncertainty,7,1,2
63,69.3,14,2,13,35,23,29.6985,7.6456,uncertainty,7,1,6
64,70.4,9,44,8,27,25,26.1725,7.5273,uncertainty,7,1,4
65,71.5,1,35,4,20,37,19.105,6.105,uncertainty,7,1,5
66,72.6,45,38,4,20,37,25.02,4.2128,uncertainty,7,1,9
67,73.7,2,38,4,20,37,18.0278,6.3921,uncertainty,7,1,4
68,74.8,42,36,16,27,29,16.5529,8.06,uncertainty,7,1,5
69,75.9,21,9,1,23,11,2.8284,7.4704,uncertainty,7,1,8
70,77,42,41,8,27,25,21.9317,5.739,uncertainty,7,1,8
71,78.1,25,34,0,18,17,18.3848,8.0251,uncertainty,7,1,8
72,79.2,42,26,3,29,32,14.3178,6.776,uncertainty,7,1,3
73,80.3,16,38,8,27,25,17.0294,6.908,uncertainty,7,1,6
74,81.4,5,11,17,31,27,30.5287,5.8704,uncertainty,7,1,6
75,82.5,27,24,5,36,18,10.8167,6.3439,uncertainty,7,1,8
76,83.6,9,49,16,27,29,26.9072,6.6777,uncertainty,7,1,8
77,84.7,27,37,2,20,12,25.9615,8.2177,uncertainty,7,1,5
78,85.8,48,37,16,27,29,22.4722,7.2733,uncertainty,7,1,10
79,86.9,32,33,5,36,18,15.5242,7.8027,uncertainty,7,1,8
80,88,45,9,15,10,11,35.0571,8.9475,uncertainty,7,1,8
81,89.1,31,6,15,10,11,21.587,5.2101,uncertainty,7,1,2
82,90.2,19,46,4,20,37,9.0554,8.8346,uncertainty,7,1,8
83,91.3,15,0,9,24,25,26.5707,5.8519,uncertainty,7,1,9
84,92.4,8,5,2,20,12,13.8924,7.6277,uncertainty,7,1,2
85,93.5,15,17,2,20,12,7.0711,7.4299,uncertainty,7,1,10
86,94.6,48,5,12,11,29,44.1022,6.8402,uncertainty,7,1,10
87,95.7,24,17,0,18,17,6,6.224,uncertainty,7,1,7
88,96.8,20,46,15,10,11,36.4005,8.0524,uncertainty,7,1,3
89,97.9,37,7,10,31,11,7.2111,6.6146,uncertainty,7,1,7
90,99,25,42,16,27,29,13.1529,5.9385,uncertainty,7,1,5
91,100.1,38,39,13,35,23,16.2788,6.7852,uncertainty,7,1,7
92,101.2,20,29,12,11,29,9,5.4848,uncertainty,7,1,8
93,102.3,1,49,19,37,28,41.6773,7.2062,uncertainty,7,1,5
94,103.4,34,20,18,36,34,14.1421,7.0975,uncertainty,7,1,3
95,104.5,21,44,17,31,27,19.7231,6.9406,uncertainty,7,1,2
96,105.6,23,30,14,19,17,13.6015,5.7086,uncertainty,7,1,9
97,106.7,3,6,6,35,33,41.8688,6.7086,uncertainty,7,1,4
98,107.8,37,36,17,31,27,10.8167,8.4228,uncertainty,7,1,9
99,108.9,42,11,13,35,23,13.8924,6.7856,uncertainty,7,1,2
100,110,4,20,15,10,11,10.8167,7.4693,uncertainty,7,1,2
101,111.1,39,13,13,35,23,10.7703,5.3538,uncertainty,7,1,10
102,112.2,30,0,17,31,27,27.0185,7.4348,uncertainty,7,1,5
103,113.3,21,32,9,24,25,7.6158,6.8633,uncertainty,7,1,6
104,114.4,41,30,6,35,33,6.7082,7.5257,uncertainty,7,1,8
105,115.5,32,27,0,18,17,17.2047,6.0971,uncertainty,7,1,5
106,116.6,27,7,16,27,29,22,5.839,uncertainty,7,1,8
107,117.7,19,22,19,37,28,18.9737,5.6899,uncertainty,7,1,7
108,118.8,34,44,14,19,17,30.8869,6.0872,uncertainty,7,1,10
109,119.9,37,38,4,20,37,17.0294,4.5513,uncertainty,7,1,2
