name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time,
77,84.7,46,31,4,14,29,32.0624,4.8999,uncertainty,7,1,9,0
78,85.8,3,11,3,33,31,36.0555,7.3916,uncertainty,7,1,9,0
79,86.9,15,29,18,36,11,27.6586,7.0787,uncertainty,7,1,8,0
80,88,34,28,2,20,21,15.6525,7.496,uncertainty,7,1,4,0
81,89.1,25,11,2,20,21,11.1803,4.9377,uncertainty,7,1,4,0
82,90.2,36,29,7,37,29,1,7.2049,uncertainty,7,1,5,0
83,91.3,39,10,3,33,31,21.8403,5.7885,uncertainty,7,1,9,0
84,92.4,18,26,15,36,34,19.6977,6.6072,uncertainty,7,1,2,0
85,93.5,32,4,10,16,38,37.5766,7.9794,uncertainty,7,1,5,0
86,94.6,21,43,16,29,10,33.9559,8.739,uncertainty,7,1,9,0
87,95.7,5,27,16,29,10,29.4109,7.1614,uncertainty,7,1,6,0
88,96.8,37,18,10,16,38,29,8.3023,uncertainty,7,1,6,0
89,97.9,1,8,0,30,27,34.6699,7.7332,uncertainty,7,1,8,0
90,99,37,8,6,16,29,29.6985,7.3444,uncertainty,7,1,10,0
91,100.1,14,29,12,32,16,22.2036,6.7602,uncertainty,7,1,8,0
92,101.2,28,18,11,33,15,5.831,6.4652,uncertainty,7,1,10,0
93,102.3,43,7,17,15,39,42.5206,8.0083,uncertainty,7,1,10,0
94,103.4,36,14,19,34,12,2.8284,7.4447,uncertainty,7,1,2,0
95,104.5,20,15,0,30,27,15.6205,9.2553,uncertainty,7,1,3,0
96,105.6,9,27,18,36,11,31.3847,6.9572,uncertainty,7,1,2,0
97,106.7,46,38,6,16,29,31.3209,7.6394,uncertainty,7,1,8,0
98,107.8,9,35,13,33,19,28.8444,7.7318,uncertainty,7,1,9,0
99,108.9,15,7,17,15,39,32,7.2197,uncertainty,7,1,5,0
100,110,34,19,7,37,29,10.4403,6.2821,uncertainty,7,1,4,0
101,111.1,24,40,18,36,11,31.3847,5.7956,uncertainty,7,1,10,0
102,112.2,26,24,14,23,27,0,5.1161,uncertainty,7,1,4,0
103,113.3,42,34,18,36,11,23.7697,6.3416,uncertainty,7,1,7,0
104,114.4,20,29,13,33,19,16.4012,5.5849,uncertainty,7,1,4,0
105,115.5,7,48,3,33,31,31.0644,6.8816,uncertainty,7,1,5,0
106,116.6,18,6,11,33,15,17.4929,7.1483,uncertainty,7,1,8,0
107,117.7,8,38,5,14,25,14.3178,7.4999,uncertainty,7,1,9,0
108,118.8,40,43,16,29,10,34.7851,7.7077,uncertainty,7,1,5,0
109,119.9,32,43,16,29,10,33.1361,6.0236,uncertainty,7,1,3,0
