name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,,
28,30.8,1,20,7,29,27,28.8617,7.5757,uncertainty,7,1,,0
29,31.9,0,8,11,21,29,29.6985,7.6646,uncertainty,7,1,,0
30,33,8,25,18,26,24,18.0278,5.8911,uncertainty,7,1,,0
31,34.1,42,3,15,28,20,22.0227,6.7056,uncertainty,7,1,,0
32,35.2,4,41,4,26,23,28.4253,7.1758,uncertainty,7,1,,0
33,36.3,23,41,11,21,29,0,6.4467,uncertainty,7,1,,0
34,37.4,38,47,17,24,27,24.4131,7.4452,uncertainty,7,1,,0
35,38.5,39,0,11,21,29,34.1321,6.9307,uncertainty,7,1,,0
36,39.6,40,25,11,21,29,19.4165,5.3174,uncertainty,7,1,,0
37,40.7,39,41,7,29,27,17.2047,6.3677,uncertainty,7,1,,0
38,41.8,11,41,0,27,29,20,8.5232,uncertainty,7,1,,0
39,42.9,0,41,7,29,27,32.2025,7.2455,uncertainty,7,1,,0
40,44,2,24,13,24,23,22.0227,5.0929,uncertainty,7,1,,0
41,45.1,32,13,4,26,23,11.6619,6.6039,uncertainty,7,1,,0
42,46.2,10,31,1,22,26,13,7.4356,uncertainty,7,1,,0
43,47.3,45,49,8,28,22,31.9061,8.0642,uncertainty,7,1,,0
44,48.4,43,0,6,26,25,30.2324,6.8863,uncertainty,7,1,,0
45,49.5,31,27,15,28,20,7.6158,8.0355,uncertainty,7,1,,0
46,50.6,11,44,2,27,26,24.0832,7.4928,uncertainty,7,1,,0
47,51.7,27,9,7,29,27,18.1108,4.215,uncertainty,7,1,,0
48,52.8,12,43,17,24,27,20,7.2664,uncertainty,7,1,,0
49,53.9,4,42,10,26,27,26.6271,4.5394,uncertainty,7,1,,0
50,55,44,29,8,28,22,17.4642,6.4937,uncertainty,7,1,,0
51,56.1,0,32,15,28,20,30.4631,7.7258,uncertainty,7,1,,0
52,57.2,39,12,19,22,20,18.7883,6.0179,uncertainty,7,1,,0
53,58.3,41,10,1,22,26,24.8395,7.4132,uncertainty,7,1,,0
54,59.4,11,26,0,27,29,16.2788,6.404,uncertainty,7,1,,0
55,60.5,4,13,4,26,23,24.1661,5.7584,uncertainty,7,1,,0
56,61.6,46,47,19,22,20,36.1248,7.7936,uncertainty,7,1,,0
57,62.7,37,48,0,27,29,21.4709,7.062,uncertainty,7,1,,0
58,63.8,39,47,1,22,26,27.0185,8.3101,uncertainty,7,1,,0
59,64.9,10,9,13,24,23,19.799,7.4737,uncertainty,7,1,,0
60,66,15,26,17,24,27,9.0554,5.6466,uncertainty,7,1,,0
61,67.1,34,37,3,25,29,12.0416,7.8569,uncertainty,7,1,,0
62,68.2,33,26,2,27,26,6,6.4163,uncertainty,7,1,,0
63,69.3,11,7,3,25,29,26.0768,5.5278,uncertainty,7,1,,0
64,70.4,22,32,11,21,29,3.1623,7.9833,uncertainty,7,1,,0
65,71.5,40,16,7,29,27,15.5563,6.3606,uncertainty,7,1,,0
66,72.6,14,8,19,22,20,14.4222,6.1451,uncertainty,7,1,,0
67,73.7,22,20,14,23,24,4.1231,5.8931,uncertainty,7,1,,0
68,74.8,7,39,3,25,29,20.5913,7.3652,uncertainty,7,1,,0
69,75.9,9,37,0,27,29,19.6977,6.4721,uncertainty,7,1,,0
70,77,13,38,1,22,26,15,6.9258,uncertainty,7,1,,0
71,78.1,49,37,13,24,23,28.6531,5.7821,uncertainty,7,1,,0
72,79.2,23,7,6,26,25,18.2483,6.322,uncertainty,7,1,,0
73,80.3,49,5,3,25,29,33.9411,6.552,uncertainty,7,1,,0
74,81.4,43,4,12,27,24,25.6125,6.8958,uncertainty,7,1,,0
75,82.5,3,15,11,21,29,22.8035,8.3816,uncertainty,7,1,,0
76,83.6,24,35,12,27,24,11.4018,6.2272,uncertainty,7,1,,0
77,84.7,23,3,8,28,22,19.6469,7.3826,uncertainty,7,1,,0
78,85.8,5,36,18,26,24,24.1868,9.2617,uncertainty,7,1,,0
79,86.9,40,15,15,28,20,13,7.6416,uncertainty,7,1,,0
80,88,15,0,18,26,24,26.4008,6.8797,uncertainty,7,1,,0
81,89.1,24,38,2,27,26,12.3693,6.7383,uncertainty,7,1,,0
82,90.2,31,19,2,27,26,8.0623,6.7439,uncertainty,7,1,,0
83,91.3,9,26,19,22,20,14.3178,7.2377,uncertainty,7,1,,0
84,92.4,17,30,17,24,27,7.6158,7.9823,uncertainty,7,1,,0
85,93.5,5,49,11,21,29,25.6125,5.0719,uncertainty,7,1,,0
86,94.6,1,33,12,27,24,27.5136,6.8132,uncertainty,7,1,,0
87,95.7,44,48,19,22,20,35.609,7.0691,uncertainty,7,1,,0
88,96.8,42,18,1,22,26,21.5407,6.9453,uncertainty,7,1,,0
89,97.9,1,44,15,28,20,36.1248,8.1576,uncertainty,7,1,,0
90,99,5,27,6,26,25,21.095,7.408,uncertainty,7,1,,0
91,100.1,29,10,14,23,24,15.2315,6.7162,uncertainty,7,1,,0
92,101.2,14,36,3,25,29,13.0384,8.1919,uncertainty,7,1,,0
93,102.3,12,3,12,27,24,25.807,7.0524,uncertainty,7,1,,0
94,103.4,10,23,6,26,25,16.1245,6.3553,uncertainty,7,1,,0
95,104.5,13,5,13,24,23,21.095,7.3956,uncertainty,7,1,,0
96,105.6,32,38,7,29,27,11.4018,7.5472,uncertainty,7,1,,0
97,106.7,36,39,18,26,24,18.0278,8.5377,uncertainty,7,1,,0
98,107.8,25,0,18,26,24,24.0208,7.9519,uncertainty,7,1,,0
99,108.9,4,44,0,27,29,27.4591,7.8703,uncertainty,7,1,,0
100,110,21,26,12,27,24,6.3246,6.4801,uncertainty,7,1,,0
101,111.1,41,13,18,26,24,18.6011,7.7331,uncertainty,7,1,,0
102,112.2,1,38,11,21,29,21.9317,6.9163,uncertainty,7,1,,0
103,113.3,3,41,5,29,22,32.2025,5.3112,uncertainty,7,1,,0
104,114.4,48,39,6,26,25,26.0768,6.4551,uncertainty,7,1,,0
105,115.5,8,5,6,26,25,26.9072,6.23,uncertainty,7,1,,0
106,116.6,34,5,12,27,24,20.2485,7.377,uncertainty,7,1,,0
107,117.7,17,20,12,27,24,10.7703,8.5633,uncertainty,7,1,,0
108,118.8,43,15,15,28,20,15.8114,7.098,uncertainty,7,1,,0
109,119.9,1,31,12,27,24,26.9258,6.0374,uncertainty,7,1,,0
