name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e,service_time
61,67.1,2,11,6,25,23,25.9422,6.2912,uncertainty,7,1,8
62,68.2,0,31,16,28,29,28.0713,8.1924,uncertainty,7,1,5
63,69.3,11,47,0,26,27,25,8.3863,uncertainty,7,1,7
64,70.4,32,43,8,28,29,14.5602,6.3235,uncertainty,7,1,9
65,71.5,5,45,5,28,29,28.0179,5.8158,uncertainty,7,1,9
66,72.6,37,49,11,25,28,24.1868,8.8976,uncertainty,7,1,6
67,73.7,47,23,12,26,29,21.8403,6.9355,uncertainty,7,1,5
68,74.8,3,27,5,28,29,25.0799,7.3067,uncertainty,7,1,6
69,75.9,29,20,17,27,23,3.6056,7.229,uncertainty,7,1,5
70,77,21,26,10,29,22,8.9443,6.3558,uncertainty,7,1,5
71,78.1,43,26,6,25,23,18.2483,6.3562,uncertainty,7,1,6
72,79.2,20,36,4,29,21,17.4929,6.7384,uncertainty,7,1,7
73,80.3,1,47,12,26,29,30.8058,6.5272,uncertainty,7,1,2
74,81.4,47,26,12,26,29,21.2132,7.6938,uncertainty,7,1,4
75,82.5,48,22,0,26,27,22.561,6.1318,uncertainty,7,1,9
76,83.6,7,14,16,28,29,25.807,6.0475,uncertainty,7,1,10
77,84.7,20,47,3,29,27,21.9317,6.6531,uncertainty,7,1,7
78,85.8,25,0,9,29,23,23.3452,6.0117,uncertainty,7,1,3
79,86.9,25,12,12,26,29,17.0294,7.0249,uncertainty,7,1,6
80,88,29,30,16,28,29,1.4142,7.1986,uncertainty,7,1,9
81,89.1,43,13,3,29,27,19.799,6.2035,uncertainty,7,1,7
82,90.2,9,30,9,29,23,21.1896,6.6821,uncertainty,7,1,8
83,91.3,11,23,7,28,29,18.0278,6.6497,uncertainty,7,1,8
84,92.4,27,1,14,29,21,20.0998,7.0942,uncertainty,7,1,4
85,93.5,22,36,2,20,24,12.1655,4.4245,uncertainty,7,1,10
86,94.6,38,43,2,20,24,26.1725,7.8595,uncertainty,7,1,10
87,95.7,23,41,12,26,29,12.3693,7.3292,uncertainty,7,1,5
88,96.8,31,19,0,26,27,9.434,8.372,uncertainty,7,1,5
89,97.9,30,43,3,29,27,16.0312,6.4717,uncertainty,7,1,4
90,99,16,5,1,28,26,24.1868,6.9943,uncertainty,7,1,9
91,100.1,18,25,13,20,27,2.8284,6.8176,uncertainty,7,1,5
92,101.2,41,0,14,29,21,24.1868,8.1659,uncertainty,7,1,9
93,102.3,46,35,2,20,24,28.2312,6.4732,uncertainty,7,1,4
94,103.4,47,38,0,26,27,23.7065,8.0093,uncertainty,7,1,8
95,104.5,38,9,7,28,29,22.3607,6.9664,uncertainty,7,1,6
96,105.6,33,45,4,29,21,24.3311,7.6368,uncertainty,7,1,3
97,106.7,43,30,7,28,29,15.0333,5.1344,uncertainty,7,1,4
98,107.8,27,17,7,28,29,12.0416,8.7755,uncertainty,7,1,6
99,108.9,34,26,10,29,22,6.4031,6.7433,uncertainty,7,1,6
100,110,31,47,10,29,22,25.0799,5.3042,uncertainty,7,1,6
101,111.1,7,27,7,28,29,21.095,6.1495,uncertainty,7,1,3
102,112.2,22,39,15,24,27,12.1655,6.454,uncertainty,7,1,8
103,113.3,16,48,5,28,29,22.4722,6.8505,uncertainty,7,1,10
104,114.4,8,6,16,28,29,30.4795,7.0896,uncertainty,7,1,9
105,115.5,44,12,10,29,22,18.0278,7.2183,uncertainty,7,1,7
106,116.6,5,35,0,26,27,22.4722,5.5758,uncertainty,7,1,3
107,117.7,9,36,13,20,27,14.2127,7.6063,uncertainty,7,1,7
108,118.8,30,43,17,27,23,20.2237,4.8559,uncertainty,7,1,6
109,119.9,29,7,0,26,27,20.2237,6.6552,uncertainty,7,1,3
