name,gen t,loc_x,loc_y,store,store_x,store_y,p2,cook_time,cook_time_type,cook_time_s,cook_time_e
67,73.7,39,3,8,25,24,25.2389,8.1729,uncertainty,7,1
68,74.8,45,17,11,23,22,22.561,6.4678,uncertainty,7,1
69,75.9,39,35,18,27,26,15.0,5.3527,uncertainty,7,1
70,77.0,20,48,13,22,23,25.079900000000002,9.68,uncertainty,7,1
71,78.1,25,23,1,29,20,5.0,6.925,uncertainty,7,1
72,79.2,5,27,13,22,23,17.4642,7.5307,uncertainty,7,1
73,80.3,12,49,8,25,24,28.178,6.1437,uncertainty,7,1
74,81.4,49,0,2,22,27,38.1838,6.6685,uncertainty,7,1
75,82.5,23,43,8,25,24,19.105,8.1159,uncertainty,7,1
76,83.6,24,2,13,22,23,21.095,6.8327,uncertainty,7,1
77,84.7,48,11,18,27,26,25.806999999999995,6.6913,uncertainty,7,1
78,85.8,44,30,14,26,24,18.9737,7.4712,uncertainty,7,1
79,86.9,21,35,11,23,22,13.152900000000002,7.875,uncertainty,7,1
80,88.0,30,32,18,27,26,6.7082,7.2091,uncertainty,7,1
81,89.1,0,22,3,26,25,26.1725,7.0853,uncertainty,7,1
82,90.2,43,30,7,20,28,23.0868,8.2752,uncertainty,7,1
83,91.3,27,13,12,20,25,13.892399999999999,5.9829,uncertainty,7,1
84,92.4,1,38,0,26,24,28.6531,7.1995,uncertainty,7,1
85,93.5,34,39,9,23,29,14.8661,8.1878,uncertainty,7,1
86,94.6,38,15,3,26,25,15.6205,6.5787,uncertainty,7,1
87,95.7,10,11,14,26,24,20.6155,6.3644,uncertainty,7,1
88,96.8,17,45,0,26,24,22.8473,8.1242,uncertainty,7,1
89,97.9,16,25,18,27,26,11.0454,8.2088,uncertainty,7,1
90,99.0,35,11,4,21,26,20.5183,8.0497,uncertainty,7,1
91,100.1,23,4,5,29,20,17.088,7.9609,uncertainty,7,1
92,101.2,17,45,8,25,24,22.4722,6.7894,uncertainty,7,1
93,102.3,29,21,0,26,24,4.2426,8.6852,uncertainty,7,1
94,103.4,20,39,5,29,20,21.0238,6.7931,uncertainty,7,1
95,104.5,13,33,4,21,26,10.6301,8.0613,uncertainty,7,1
96,105.6,14,31,6,20,29,6.3246,5.0344,uncertainty,7,1
97,106.7,34,4,1,29,20,16.7631,6.572,uncertainty,7,1
98,107.8,29,16,17,20,26,13.4536,7.7868,uncertainty,7,1
99,108.9,47,14,9,23,29,28.3019,7.1861,uncertainty,7,1
100,110.0,43,26,7,20,28,23.0868,7.0445,uncertainty,7,1
101,111.1,23,21,16,22,29,8.0623,5.8846,uncertainty,7,1
102,112.2,25,5,15,25,21,16.0,6.3089,uncertainty,7,1
103,113.3,48,35,14,26,24,24.5967,7.4356,uncertainty,7,1
104,114.4,21,39,13,22,23,16.0312,6.7661,uncertainty,7,1
105,115.5,24,34,10,27,29,5.831,7.17,uncertainty,7,1
106,116.6,16,37,10,27,29,13.601499999999998,5.8122,uncertainty,7,1
107,117.7,47,40,0,26,24,26.400800000000004,7.0529,uncertainty,7,1
108,118.8,14,7,11,23,22,17.4929,5.7502,uncertainty,7,1
109,119.9,3,39,4,21,26,22.2036,7.7951,uncertainty,7,1
